Fund Holdings as of,"10/Nov/2021"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"EVT","EVOTEC","Health Care","Equity","1,764,047.91","0.07","1,764,047.91","36,700.00","48.07","Germany","Xetra","EUR"
"BPMC","BLUEPRINT MEDICINES CORP","Health Care","Equity","1,763,831.62","0.07","1,763,831.62","15,437.00","114.26","United States","NASDAQ","USD"
"OZK","BANK OZK","Financials","Equity","1,762,157.32","0.07","1,762,157.32","37,429.00","47.08","United States","NASDAQ","USD"
"DLB","DOLBY LABORATORIES INC CLASS A","Information Technology","Equity","1,756,153.08","0.07","1,756,153.08","19,857.00","88.44","United States","New York Stock Exchange Inc.","USD"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Industrials","Equity","1,750,361.73","0.07","1,750,361.73","12,207.00","143.39","United States","NASDAQ","USD"
"AQUA","EVOQUA WATER TECHNOLOGIES CORP","Industrials","Equity","1,745,182.95","0.07","1,745,182.95","38,653.00","45.15","United States","New York Stock Exchange Inc.","USD"
"ADDT B","ADDTECH CLASS B","Industrials","Equity","1,736,707.65","0.07","1,736,707.65","72,356.00","24.00","Sweden","Nasdaq Omx Nordic","SEK"
"POWI","POWER INTEGRATIONS INC","Information Technology","Equity","1,736,215.12","0.07","1,736,215.12","17,684.00","98.18","United States","NASDAQ","USD"
"TXRH","TEXAS ROADHOUSE INC","Consumer Discretionary","Equity","1,735,610.40","0.07","1,735,610.40","18,735.00","92.64","United States","NASDAQ","USD"
"6976","TAIYO YUDEN LTD","Information Technology","Equity","1,726,939.12","0.07","1,726,939.12","32,300.00","53.47","Japan","Tokyo Stock Exchange","JPY"
"ITV","ITV PLC","Communication","Equity","1,725,505.28","0.07","1,725,505.28","1,017,613.00","1.70","United Kingdom","London Stock Exchange","GBP"
"AALB","AALBERTS NV","Industrials","Equity","1,724,996.69","0.07","1,724,996.69","28,129.00","61.32","Netherlands","Euronext Amsterdam","EUR"
"HELE","HELEN OF TROY LTD","Consumer Discretionary","Equity","1,718,293.36","0.07","1,718,293.36","7,256.00","236.81","United States","NASDAQ","USD"
"ROLL","RBC BEARINGS INC","Industrials","Equity","1,715,974.80","0.07","1,715,974.80","7,268.00","236.10","United States","NASDAQ","USD"
"MKS","MARKS AND SPENCER GROUP PLC","Consumer Discretionary","Equity","1,714,615.32","0.07","1,714,615.32","561,847.00","3.05","United Kingdom","London Stock Exchange","GBP"
"SLM","SLM CORP","Financials","Equity","1,714,522.40","0.07","1,714,522.40","91,198.00","18.80","United States","NASDAQ","USD"
"MSTR","MICROSTRATEGY INC CLASS A","Information Technology","Equity","1,711,864.98","0.07","1,711,864.98","2,097.00","816.34","United States","NASDAQ","USD"
"MAN","MANPOWER INC","Industrials","Equity","1,711,658.88","0.07","1,711,658.88","16,704.00","102.47","United States","New York Stock Exchange Inc.","USD"
"SBB B","SAMHALLSBYGGNADSBOLAGET I NORDEN C","Real Estate","Equity","1,710,211.57","0.07","1,710,211.57","235,844.00","7.25","Sweden","Nasdaq Omx Nordic","SEK"
"NOV","NOV INC","Energy","Equity","1,705,400.45","0.07","1,705,400.45","120,523.00","14.15","United States","New York Stock Exchange Inc.","USD"
"SON","SONOCO PRODUCTS","Materials","Equity","1,703,694.66","0.07","1,703,694.66","27,934.00","60.99","United States","New York Stock Exchange Inc.","USD"
"AMED","AMEDISYS INC","Health Care","Equity","1,694,912.31","0.07","1,694,912.31","9,191.00","184.41","United States","NASDAQ","USD"
