iShares MSCI South Korea ETF
Fund Holdings as of,"Nov 10, 2021"
Inception Date,"May 09, 2000"
Shares Outstanding,"64,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"097950","CJ CHEILJEDANG CORP","Consumer Staples","Equity","20,458,127.78","0.41","20,458,127.78","66,011.00","309.92","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"000100","YUHAN CORP","Health Care","Equity","20,316,961.34","0.40","20,316,961.34","403,249.00","50.38","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"016360","SAMSUNG SECURITIES LTD","Financials","Equity","20,245,094.12","0.40","20,245,094.12","499,654.00","40.52","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"051915","LG CHEM PREFERRED STOCK LTD","Materials","Equity","20,235,615.39","0.40","20,235,615.39","69,875.00","289.60","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"005830","DB INSURANCE LTD","Financials","Equity","19,672,811.38","0.39","19,672,811.38","401,254.00","49.03","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"035250","KANGWON LAND INC","Consumer Discretionary","Equity","19,295,964.18","0.38","19,295,964.18","853,467.00","22.61","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"086280","HYUNDAI GLOVIS LTD","Industrials","Equity","18,844,653.03","0.37","18,844,653.03","141,749.00","132.94","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"032640","LG UPLUS CORP","Communication","Equity","18,693,268.13","0.37","18,693,268.13","1,549,180.00","12.07","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"267250","HYUNDAI HEAVY INDUSTRIES HOLDINGS","Industrials","Equity","18,434,863.20","0.37","18,434,863.20","361,039.00","51.06","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"024110","INDUSTRIAL BANK OF KOREA","Financials","Equity","18,374,701.09","0.36","18,374,701.09","1,963,765.00","9.36","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"006360","GS ENGINEERING & CONSTRUCTION CORP","Industrials","Equity","18,254,369.28","0.36","18,254,369.28","523,876.00","34.84","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"018880","HANON SYSTEMS","Consumer Discretionary","Equity","18,203,194.04","0.36","18,203,194.04","1,530,040.00","11.90","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"241560","DOOSAN BOBCAT INC","Industrials","Equity","17,590,823.49","0.35","17,590,823.49","462,670.00","38.02","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"271560","ORION CORP","Consumer Staples","Equity","17,290,010.16","0.34","17,290,010.16","181,499.00","95.26","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"005385","HYUNDAI MOTOR S1 PREF","Consumer Discretionary","Equity","16,706,083.66","0.33","16,706,083.66","201,935.00","82.73","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"008770","HOTEL SHILLA LTDINARY SHARES KOREA","Consumer Discretionary","Equity","15,894,505.27","0.32","15,894,505.27","231,736.00","68.59","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"005940","NH INVESTMENT & SECURITIES LTD","Financials","Equity","14,781,305.98","0.29","14,781,305.98","1,353,177.00","10.92","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"078930","GS HOLDINGS","Energy","Equity","14,723,509.34","0.29","14,723,509.34","401,101.00","36.71","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"047810","KOREA AEROSPACE INDUSTRIES LTD","Industrials","Equity","14,516,786.61","0.29","14,516,786.61","584,109.00","24.85","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"008560","MERITZ SECURITIES LTD","Financials","Equity","13,991,340.19","0.28","13,991,340.19","3,595,881.00","3.89","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"028670","PAN OCEAN LTD","Industrials","Equity","13,889,816.33","0.28","13,889,816.33","2,908,365.00","4.78","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"035760","CJ ENM LTD","Consumer Discretionary","Equity","13,879,797.03","0.28","13,879,797.03","96,363.00","144.04","Korea (South)","Korea Exchange (Kosdaq)","USD","1,180.95","KRW","-"
"128940","HANMI PHARM LTD","Health Care","Equity","12,930,951.35","0.26","12,930,951.35","56,454.00","229.05","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"326030","SK BIOPHARMACEUTICALS LTD","Health Care","Equity","12,847,665.18","0.25","12,847,665.18","157,554.00","81.54","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"352820","HYBE LTD","Communication","Equity","12,676,523.14","0.25","12,676,523.14","38,884.00","326.01","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"081660","FILA HOLDINGS CORP","Consumer Discretionary","Equity","12,575,243.58","0.25","12,575,243.58","398,143.00","31.58","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","12,557,006.35","0.25","12,557,006.35","14,829,196,646.00","0.08","Korea (South)","-","USD","1,180.95","KRW","-"
"030000","CHEIL WORLDWIDE INC","Communication","Equity","12,353,512.09","0.24","12,353,512.09","637,069.00","19.39","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"004170","SHINSEGAE INC","Consumer Discretionary","Equity","12,156,382.57","0.24","12,156,382.57","59,817.00","203.23","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"001040","CJ CORP","Industrials","Equity","11,388,228.12","0.23","11,388,228.12","140,093.00","81.29","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"012750","S-1 CORP","Industrials","Equity","11,102,437.36","0.22","11,102,437.36","158,542.00","70.03","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"282330","BGF RETAIL LTD","Consumer Staples","Equity","10,846,828.82","0.22","10,846,828.82","76,475.00","141.83","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"000120","CJ LOGISTICS CORP","Industrials","Equity","10,632,348.11","0.21","10,632,348.11","90,659.00","117.28","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"196170","ALTEOGEN INC","Health Care","Equity","10,278,453.79","0.20","10,278,453.79","159,715.00","64.35","Korea (South)","Korea Exchange (Kosdaq)","USD","1,180.95","KRW","-"
"002790","AMOREG","Consumer Staples","Equity","9,687,868.92","0.19","9,687,868.92","236,382.00","40.98","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"023530","LOTTE SHOPPING LTD","Consumer Discretionary","Equity","9,679,527.50","0.19","9,679,527.50","112,069.00","86.37","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"051905","LG HOUSEHOLD & HEALTH CARE PREF LT","Consumer Staples","Equity","9,578,041.41","0.19","9,578,041.41","18,156.00","527.54","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"068760","CELLTRION PHARM INC","Health Care","Equity","9,477,194.63","0.19","9,477,194.63","95,090.00","99.67","Korea (South)","Korea Exchange (Kosdaq)","USD","1,180.95","KRW","-"
"096530","SEEGENE INC","Health Care","Equity","8,933,195.48","0.18","8,933,195.48","210,572.00","42.42","Korea (South)","Korea Exchange (Kosdaq)","USD","1,180.95","KRW","-"
"042660","DAEWOO SHIPBUILDING & MARINE ENGIN","Industrials","Equity","8,756,390.32","0.17","8,756,390.32","433,579.00","20.20","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"285130","SK CHEMICALS LTD","Materials","Equity","8,433,942.59","0.17","8,433,942.59","65,743.00","128.29","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"012510","DOUZONBIZON LTD","Information Technology","Equity","7,914,401.63","0.16","7,914,401.63","115,818.00","68.33","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"011790","SKC LTD","Materials","Equity","7,747,773.40","0.15","7,747,773.40","52,434.00","147.76","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"247540","ECOPRO BM LTD","Industrials","Equity","7,583,326.31","0.15","7,583,326.31","16,612.00","456.50","Korea (South)","Korea Exchange (Kosdaq)","USD","1,180.95","KRW","-"
"019170","SHINPOONG PHARMACEUTICAL LTD","Health Care","Equity","6,808,717.39","0.14","6,808,717.39","171,811.00","39.63","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"302440","SK BIOSCIENCE LTD","Health Care","Equity","4,747,915.66","0.09","4,747,915.66","25,314.00","187.56","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","4,153,996.78","0.08","4,153,996.78","75,125.00","55.29","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","Jun 07, 1993"
"323410","KAKAOBANK CORP","Financials","Equity","4,144,847.79","0.08","4,144,847.79","83,530.00","49.62","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"006280","GREEN CROSS(SOUTH KOREA) CORP","Health Care","Equity","3,871,334.52","0.08","3,871,334.52","18,853.00","205.34","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"MARGIN_KRW","FUTURES KRW MARGIN BALANCE","Cash and/or Derivatives","Cash Collateral and Margins","3,669,512.08","0.07","3,669,512.08","4,333,510,290.00","0.08","Korea (South)","-","USD","1,180.95","KRW","Jan 01, 2000"
"361610","SK IE TECHNOLOGY LTD","Materials","Equity","3,285,029.85","0.07","3,285,029.85","24,096.00","136.33","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","735,139.36","0.01","735,139.36","735,139.00","100.00","United States","-","USD","1.00","USD","-"
"KMZ1","KOSPI2 INDEX DEC 21","Cash and/or Derivatives","Futures","0.00","0.00","15,052,881.16","184.00","0.33","-","Korea Exchange (Futures Market)","USD","1,180.95","KRW","-"
 
"The content contained herein is owned or licensed by BlackRock and/or its third-party information providers and is protected by applicable copyrights, trademarks, service marks, and/or other intellectual property rights. Such content is solely for your personal, non-commercial use. Accordingly, you may not copy, distribute, modify, post, frame or deep link this content. You may download material displayed on this Website for your personal use provided you also retain all copyright and other proprietary notices contained on the materials. Modification or use of the materials for any other purpose violates BlackRock's intellectual property rights.
Holdings subject to change. See www.iShares.com for the most recent funds holdings.
The values for “price” shown herein generally represent a price provided by a third-party pricing vendor for the portfolio holding and do not reflect the impact of systematic fair valuation (“the vendor price”). The vendor price is not necessarily the price at which the Fund values the portfolio holding for the purposes of determining its net asset value (the “valuation price”). Additionally, where applicable, foreign currency exchange rates with respect to the portfolio holdings denominated in non-U.S. currencies for the valuation price will be generally determined as of the close of business on the New York Stock Exchange, whereas for the vendor price will be generally determined as of 4 p.m. London. The values shown herein for “market value,” “weight,” and “notional value” (the “calculated values”) are based off of the vendor price and may have been different if the valuation price were to have been used to calculate such values. The vendor price is as of the most recent practicable date and may not necessarily be as of the date shown above.
Please see the “Determination of Net Asset Value” section of each Fund’s prospectus for additional information on the Fund’s valuation policies and procedures.
CAREFULLY CONSIDER THE FUNDS' INVESTMENT OBJECTIVES, RISK FACTORS, AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS' PROSPECTUSES OR, IF AVAILABLE, THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING WWW.ISHARES.COM OR WWW.BLACKROCK.COM. READ THE PROSPECTUS CAREFULLY VEFORE INVESTING. INVESTING INVOLVES RISK, INCLUDING POSSIBLE LOSS OF PRINCIPAL.
This information should not be relied upon as research, investment advice, or a recommendation regarding any products, strategies, or any security in particular.
This material is strictly for illustrative, educational, or informational purposes and is subject to change.
The iShares Funds are distributed by BlackRock Investments, LLC (together with its affiliates, “BlackRock”).
The iShares Funds are not sponsored, endorsed, issued, sold or promoted by Barclays, Bloomberg Finance L.P., BlackRock Index Services, LLC, Cohen & Steers Capital Management, Inc., European Public Real Estate Association (“EPRA® ”), FTSE International Limited (“FTSE”), ICE Data Services, LLC, India Index Services & Products Limited, JPMorgan Chase & Co., Japan Exchange Group, MSCI Inc., Markit Indices Limited, Morningstar, Inc., The NASDAQ OMX Group, Inc., National Association of Real Estate Investment Trusts (“NAREIT”), New York Stock Exchange, Inc., Russell or S&P Dow Jones Indices LLC. None of these companies make any representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services, LLC, who is an affiliate, BlackRock Investments, LLC is not affiliated with the companies listed above. Neither FTSE nor NAREIT makes any warranty regarding the FTSE NAREIT Equity REITS Index, FTSE NAREIT All Residential Capped Index or FTSE NAREIT All Mortgage Capped Index; all rights vest in NAREIT. Neither FTSE nor NAREIT makes any warranty regarding the FTSE EPRA/NAREIT Developed Real Estate ex-U.S. Index, FTSE EPRA/NAREIT Developed Europe Index or FTSE EPRA/NAREIT Global REIT Index; all rights vest in FTSE, NAREIT and EPRA.“FTSE®” is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
©2021 BlackRock, Inc. All rights reserved. iSHARES and BLACKROCK are registered trademarks of BlackRock, Inc., or its subsidiaries. All other marks are the property of their respective owners.
ICRMH0421U/S-1620308"
