iShares Russell 3000 ETF
Fund Holdings as of,"Nov 09, 2021"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","38,647,960.99","0.30","38,647,960.99","412,597.00","93.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","37,909,858.69","0.30","37,909,858.69","242,561.00","156.29","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","36,630,026.28","0.29","36,630,026.28","402,572.00","90.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","36,607,922.25","0.29","36,607,922.25","37,867.00","966.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","36,506,958.54","0.29","36,506,958.54","536,946.00","67.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","36,131,991.63","0.28","36,131,991.63","52,269.00","691.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","35,966,992.36","0.28","35,966,992.36","360,716.00","99.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","35,628,076.23","0.28","35,628,076.23","312,171.00","114.13","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","35,482,717.60","0.28","35,482,717.60","87,536.00","405.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","35,317,753.50","0.28","35,317,753.50","593,975.00","59.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","34,304,022.45","0.27","34,304,022.45","94,203.00","364.15","United States","NASDAQ","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","33,587,221.12","0.26","33,587,221.12","131,632.00","255.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","33,468,074.96","0.26","33,468,074.96","119,563.00","279.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","32,450,880.12","0.25","32,450,880.12","349,837.00","92.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","32,284,292.46","0.25","32,284,292.46","399,657.00","80.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","32,201,538.92","0.25","32,201,538.92","289,348.00","111.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","31,971,809.07","0.25","31,971,809.07","151,017.00","211.71","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","31,328,113.89","0.25","31,328,113.89","141,891.00","220.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","30,686,454.18","0.24","30,686,454.18","170,613.00","179.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","30,462,523.71","0.24","30,462,523.71","145,191.00","209.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","29,437,827.58","0.23","29,437,827.58","63,721.00","461.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","29,068,885.20","0.23","29,068,885.20","195,816.00","148.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","28,809,767.80","0.23","28,809,767.80","10,879.00","2,648.20","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","28,615,467.25","0.22","28,615,467.25","236,785.00","120.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANTM","ANTHEM INC","Health Care","Equity","28,014,575.84","0.22","28,014,575.84","65,132.00","430.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","27,789,729.15","0.22","27,789,729.15","153,255.00","181.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","27,769,521.78","0.22","27,769,521.78","126,099.00","220.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","27,095,169.00","0.21","27,095,169.00","357,692.00","75.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","26,577,583.76","0.21","26,577,583.76","74,696.00","355.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","26,493,369.42","0.21","26,493,369.42","180,978.00","146.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","26,359,170.00","0.21","26,359,170.00","142,482.00","185.00","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Information Technology","Equity","25,890,432.00","0.20","25,890,432.00","112,960.00","229.20","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","25,499,178.39","0.20","25,499,178.39","92,667.00","275.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SQ","SQUARE INC CLASS A","Information Technology","Equity","24,294,672.16","0.19","24,294,672.16","105,272.00","230.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","23,599,338.52","0.19","23,599,338.52","33,892.00","696.31","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","23,470,883.40","0.18","23,470,883.40","37,740.00","621.91","United States","NASDAQ","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","23,292,414.08","0.18","23,292,414.08","112,502.00","207.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","23,020,024.16","0.18","23,020,024.16","369,859.00","62.24","United States","NASDAQ","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","23,010,667.68","0.18","23,010,667.68","355,432.00","64.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","22,458,383.04","0.18","22,458,383.04","116,052.00","193.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","22,449,322.92","0.18","22,449,322.92","296,988.00","75.59","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","22,268,891.84","0.17","22,268,891.84","319,588.00","69.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","22,244,822.60","0.17","22,244,822.60","65,780.00","338.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","22,196,252.96","0.17","22,196,252.96","134,588.00","164.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","22,086,360.45","0.17","22,086,360.45","333,883.00","66.15","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","22,039,860.09","0.17","22,039,860.09","492,071.00","44.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","21,413,273.04","0.17","21,413,273.04","356,472.00","60.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","21,402,513.72","0.17","21,402,513.72","365,106.00","58.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","21,371,161.58","0.17","21,371,161.58","601,327.00","35.54","United States","NASDAQ","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","21,229,339.20","0.17","21,229,339.20","89,632.00","236.85","United States","NASDAQ","USD","1.00","USD","-"
"EL","ESTEE LAUDER INC CLASS A","Consumer Staples","Equity","21,098,038.23","0.17","21,098,038.23","60,789.00","347.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","21,057,698.10","0.17","21,057,698.10","94,970.00","221.73","United States","NASDAQ","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","20,956,637.55","0.16","20,956,637.55","64,671.00","324.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","20,835,688.52","0.16","20,835,688.52","1,035,571.00","20.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","20,784,953.84","0.16","20,784,953.84","203,854.00","101.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Real Estate","Equity","20,690,867.65","0.16","20,690,867.65","114,409.00","180.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","20,645,000.00","0.16","20,645,000.00","20,645,000.00","1.00","United States","-","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","19,956,745.92","0.16","19,956,745.92","147,304.00","135.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","19,631,221.56","0.15","19,631,221.56","163,539.00","120.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","19,589,388.86","0.15","19,589,388.86","83,423.00","234.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNOW","SNOWFLAKE CLASS A","Information Technology","Equity","19,581,619.40","0.15","19,581,619.40","51,982.00","376.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","19,493,753.40","0.15","19,493,753.40","428,340.00","45.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","19,237,289.40","0.15","19,237,289.40","58,401.00","329.40","United States","NASDAQ","USD","1.00","USD","-"
"CI","CIGNA CORP","Health Care","Equity","19,190,344.40","0.15","19,190,344.40","88,762.00","216.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","18,969,052.83","0.15","18,969,052.83","23,777.00","797.79","United States","NASDAQ","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Information Technology","Equity","18,945,971.19","0.15","18,945,971.19","164,077.00","115.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","18,689,649.94","0.15","18,689,649.94","155,929.00","119.86","United States","NASDAQ","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","18,627,354.60","0.15","18,627,354.60","65,451.00","284.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","18,482,098.32","0.15","18,482,098.32","75,852.00","243.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","18,464,880.54","0.15","18,464,880.54","105,719.00","174.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","18,302,834.96","0.14","18,302,834.96","58,319.00","313.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","18,286,717.20","0.14","18,286,717.20","117,660.00","155.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","17,862,746.88","0.14","17,862,746.88","111,936.00","159.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","17,772,525.75","0.14","17,772,525.75","280,545.00","63.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","17,595,924.20","0.14","17,595,924.20","59,140.00","297.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","17,282,689.55","0.14","17,282,689.55","221,431.00","78.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","16,968,869.02","0.13","16,968,869.02","40,682.00","417.11","United States","NASDAQ","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","16,918,329.80","0.13","16,918,329.80","43,126.00","392.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","16,480,303.70","0.13","16,480,303.70","66,955.00","246.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","16,404,323.27","0.13","16,404,323.27","26,617.00","616.31","United States","NASDAQ","USD","1.00","USD","-"
