Fund Holdings as of,"09/Nov/2021"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"GNS","GENUS PLC","Health Care","Equity","3,643,026.30","0.89","3,643,026.30","65,818.00","55.35","United Kingdom","London Stock Exchange","GBP"
"CTEC","CONVATEC GROUP PLC","Health Care","Equity","3,546,326.84","0.87","3,546,326.84","1,634,252.00","2.17","United Kingdom","London Stock Exchange","GBP"
"DLN","DERWENT LONDON REIT PLC","Real Estate","Equity","3,512,211.77","0.86","3,512,211.77","102,367.00","34.31","United Kingdom","London Stock Exchange","GBP"
"TPK","TRAVIS PERKINS PLC","Industrials","Equity","3,471,027.81","0.85","3,471,027.81","228,282.00","15.21","United Kingdom","London Stock Exchange","GBP"
"RMG","ROYAL MAIL PLC","Industrials","Equity","3,460,888.91","0.85","3,460,888.91","812,034.00","4.26","United Kingdom","London Stock Exchange","GBP"
"EMG","MAN GROUP PLC","Financials","Equity","3,394,983.90","0.83","3,394,983.90","1,469,690.00","2.31","United Kingdom","London Stock Exchange","GBP"
"PNN","PENNON GROUP PLC","Utilities","Equity","3,385,837.44","0.83","3,385,837.44","285,966.00","11.84","United Kingdom","London Stock Exchange","GBP"
"INCH","INCHCAPE PLC","Consumer Discretionary","Equity","3,367,105.00","0.82","3,367,105.00","396,130.00","8.50","United Kingdom","London Stock Exchange","GBP"
"ROR","ROTORK PLC","Industrials","Equity","3,222,048.58","0.79","3,222,048.58","883,237.00","3.65","United Kingdom","London Stock Exchange","GBP"
"GAW","GAMES WORKSHOP GROUP PLC","Consumer Discretionary","Equity","3,191,953.80","0.78","3,191,953.80","33,043.00","96.60","United Kingdom","London Stock Exchange","GBP"
"GRG","GREGGS PLC","Consumer Discretionary","Equity","3,186,397.00","0.78","3,186,397.00","102,787.00","31.00","United Kingdom","London Stock Exchange","GBP"
"TATE","TATE AND LYLE PLC","Consumer Staples","Equity","3,149,952.50","0.77","3,149,952.50","471,691.00","6.68","United Kingdom","London Stock Exchange","GBP"
"GFTU","GRAFTON GROUP UNITS PLC","Industrials","Equity","3,061,646.06","0.75","3,061,646.06","230,026.00","13.31","United Kingdom","London Stock Exchange","GBP"
"IGG","IG GROUP HOLDINGS PLC","Financials","Equity","2,920,065.39","0.72","2,920,065.39","372,933.00","7.83","United Kingdom","London Stock Exchange","GBP"
"TUI","TUI AG","Consumer Discretionary","Equity","2,827,106.24","0.69","2,827,106.24","1,146,434.00","2.47","United Kingdom","London Stock Exchange","GBP"
"HSX","HISCOX LTD","Financials","Equity","2,775,410.46","0.68","2,775,410.46","350,077.00","7.93","United Kingdom","London Stock Exchange","GBP"
"QLT","QUILTER PLC","Financials","Equity","2,740,744.43","0.67","2,740,744.43","1,767,652.00","1.55","United Kingdom","London Stock Exchange","GBP"
"HAS","HAYS PLC","Industrials","Equity","2,716,788.56","0.67","2,716,788.56","1,700,118.00","1.60","United Kingdom","London Stock Exchange","GBP"
"FEVR","FEVERTREE DRINKS PLC","Consumer Staples","Equity","2,700,231.36","0.66","2,700,231.36","106,476.00","25.36","United Kingdom","London Stock Exchange","GBP"
"SAFE","SAFESTORE HOLDINGS PLC","Real Estate","Equity","2,624,101.00","0.64","2,624,101.00","212,650.00","12.34","United Kingdom","London Stock Exchange","GBP"
